Adobe After Effects 6.0 Keyframe Data

	Units Per Second	30
	Source Width	720
	Source Height	1280
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0001
	Frame	X pixels	Y pixels
	168	405.438	504.248
	169	403.768	504.834
	170	402.098	504.952
	171	401.01	504.858
	172	397.887	504.656
	173	402.326	504.115
	174	402.191	504.86
	175	401.93	504.915
	176	401.323	504.996
	177	399.68	505.543
	178	395.699	505.372
	179	390.238	505.264
	180	390.214	505.695
	181	387.373	505.946
	182	385.388	506.135
	183	385.316	506.388
	184	383.589	506.487
	185	380.55	507.784
	186	382.124	507.75
	187	379.84	508.952
	188	379.973	510.035
	189	378.462	511.937
	190	371.145	513.784
	191	365.714	511.534
	192	361.422	513.071
	193	345.914	518.06
	194	352.89	515.47
	195	348.156	517.054
	196	344.088	517.437
	197	336.141	516.964
	198	344.299	515.419
	199	335.125	517.291
	200	347.544	511.556
	201	342.293	514.004
	202	350.389	512.155
	203	344.737	508.993
	204	344.87	504.215
	205	340.532	499.136
	206	344.866	494.631
	207	330.713	496.474
	208	336.586	495.399
	209	348.455	494.992
	210	349.387	491.631
	211	353.535	487.662
	212	352.933	486.007
	213	347.358	487.275
	214	341.563	484.438
	215	329.538	477.781
	216	323.726	479.077
	217	321.887	463.011
	218	315.688	466.549
	219	311.244	468.789
	220	301.895	469.46
	221	290.481	468.3
	222	289.072	482.152
	223	292.575	490.208
	224	293.488	495.911

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0004
	Frame	X pixels	Y pixels
	65	552.974	467.009
	66	551.988	467.937
	67	549.692	470.715
	68	547.401	473.522
	69	545.848	474.549
	70	543.22	477.643
	71	540.348	480.279
	72	539.059	481.473
	73	536.585	483.464
	74	533.665	484.886
	75	532.27	485.46
	76	529.646	487.552
	77	527.102	488.605
	78	525.503	489.995
	79	523.894	490.641
	80	524.871	493.606
	81	525.455	493.726
	82	525.834	495.907
	83	527.168	495.019
	84	528.527	494.27
	85	530.589	492.402
	86	533.85	489.893
	87	535.419	488.254
	88	538.635	486.542
	89	540.507	484.828
	90	542.145	484.189
	91	544.352	483.285
	92	546.469	483.36
	93	547.492	483.372
	94	549.836	482.437
	95	553.235	480.758
	96	554.225	479.853
	97	558.207	477.805
	98	562.636	476.175
	99	566.116	475.355
	100	574.036	473.481
	101	586.957	473.084
	102	592.646	474.22
	103	602.65	478.794
	104	613.654	481.933
	105	618.422	483.364
	106	625.532	484.706
	107	633.266	486.197
	108	636.649	486.463
	109	641.414	487.178
	110	643.891	488.661
	111	644.014	489.221
	112	643.664	490.573
	113	643.063	492.478
	114	642.504	493.742
	115	642.321	496.009
	116	644.601	497.025
	117	646.524	498.034
	118	650.368	499.15
	119	655.496	499.641
	120	659.123	499.066
	121	668.343	498.035
	122	677.786	498.094
	123	682.466	497.822
	124	689.491	497.388
	125	696.341	495.742
	126	699.675	494.356
	127	704.376	493.186
	128	708.898	490.582
	129	709.568	489.791
	130	709.603	489.316
	131	708.492	489.003
	132	707.641	489.044
	133	704.824	490.203
	134	702.019	491.198
	135	700.43	491.247
	136	697.698	492.237
	137	694.455	492.662
	138	692.47	492.725
	139	688.884	491.758
	140	685.227	490.931
	141	684.218	490.691
	142	680.876	490.044
	143	678.723	490.367
	144	677.532	490.649
	145	675.092	491.146
	146	672.929	491.085
	147	671.609	491.65
	148	669.578	492.302
	149	667.117	492.96
	150	665.471	492.833
	151	662.954	492.859
	152	660.643	493.229
	153	659.4	493.444
	154	655.867	493.586
	155	653.136	493.72
	156	651.911	494.588
	157	649.393	494.788
	158	646.734	495.422
	159	645.366	495.475
	160	643.256	496.035
	161	641.038	496.568
	162	640.256	497.026
	163	638.952	497.921
	164	637.672	498.828
	165	636.887	498.87
	166	635.687	499.772
	167	634.433	500.766
	168	633.797	500.868
	169	632.608	501.646
	170	631.654	501.943
	171	631.045	502.152
	172	629.731	502.076
	173	628.514	503.348
	174	627.96	502.412
	175	626.018	503.545
	176	623.8	504.687
	177	622.065	504.937
	178	618.322	504.957
	179	613.937	505.12
	180	611.592	504.657
	181	607.078	504.903
	182	603.358	504.715
	183	601.615	504.998
	184	598.15	505.025
	185	593.546	506.44
	186	591.163	507.392
	187	585.65	508.483
	188	580.095	509.575
	189	577.14	510.753
	190	571.244	510.313
	191	564.68	510.836
	192	561.325	510.837
	193	554.385	511.247
	194	548.068	513.293
	195	544.94	514.456
	196	538.074	515.782
	197	532.298	516.911
	198	529.803	517.171
	199	523.907	515.79
	200	521.451	512.26
	201	517.9	513.813
	202	513.494	514.243
	203	508.926	511.284
	204	503.577	505.036
	205	501.217	497.905
	206	496.452	491.743
	207	494.142	492.392
	208	492.988	493.219
	209	490.576	494.542
	210	492.598	493.191
	211	489.396	488.67
	212	484.54	488.608
	213	483.025	487.009
	214	482.383	485.964
	215	479.815	486.757
	216	477.475	487.553
	217	475.606	489.906
	218	469.814	493.172
	219	465.432	493.815
	220	459.206	494.351
	221	452.083	491.1
	222	447.773	489.472
	223	441.964	485.98
	224	437.257	482.837

End of Keyframe Data
